,TW_NO,TW_TIME,TW_TEXT,FAV,RT
0,1224482058136801281,2020-02-04 08:57:27,そーいえば黒はんぺんも静岡おでんも食ったことねえな,0,0
1,1224481826980290561,2020-02-04 08:56:31,RT @zurachinaruka1: 静岡弁女子 https://t.co/ynKS35Qp7T,0,7704
2,1224360141740367872,2020-02-04 00:52:59,雪国で滑る例のスポーツってオールレンタルだとしてトータルいくらぐらいすんのかしら,1,0
3,1224338162513670147,2020-02-03 23:25:39,NTRは一般性癖です(確固たる意思),1,0
4,1224337934343475200,2020-02-03 23:24:45,RT @pelicaNCancAn: 冷静に考えてNTRが一般性癖みたいに浸透してるのおかしくないか！？みんな脳が破壊されてるよ！正気に戻ろう！,0,323
5,1224287460164653057,2020-02-03 20:04:11,このトムとジェリーの回めちゃくちゃすき赤ちゃんの犬がしゃっくり止まらない話じゃん,0,0
6,1224287314391658498,2020-02-03 20:03:36,RT @kousa_cs: トムとジェリーのアニメ映像に生演奏で音を付けるって遊び心が素敵😊集中力も演奏力もすごい👌 https://t.co/24EJMdCIJb,0,31719
7,1224282264797757441,2020-02-03 19:43:32,つかう https://t.co/n31BN8ULSE,0,0
8,1224281377903800320,2020-02-03 19:40:01,あっ奥に安いやつあったわ,0,0
9,1224280989716758529,2020-02-03 19:38:28,健康で文化的な最低限度の生活を送らせろコノヤロー,0,0
10,1224280831717343232,2020-02-03 19:37:50,恵方巻き、普通に高くない？なんで1kもするんだよ,0,0
11,1224278758363783169,2020-02-03 19:29:36,https://t.co/uqFEf8YN1P,1,0
12,1224278669226414080,2020-02-03 19:29:15,あとQiitaの記事丸コピだからコードとか知らない(),1,0
13,1224278510702710784,2020-02-03 19:28:37,うひゃーーー恵方巻き買いに行くぞーーーーー,0,0
14,1224278455707037696,2020-02-03 19:28:24,半日かかったとかそーゆーことは内緒だぞ！,0,0
15,1224278332293795840,2020-02-03 19:27:55,うるせえ！,0,0
16,1224278316531609600,2020-02-03 19:27:51,レベルひっく！,0,0
17,1224278084292988929,2020-02-03 19:26:55,うおおおおおおおツイート取得できたーーーすげえすげえすげえすげえ https://t.co/7AYEGsSTdB,6,0
18,1224276971363782656,2020-02-03 19:22:30,うちの三姉妹死ぬほどすこだったので感慨深すぎる,0,0
19,1224276781810630656,2020-02-03 19:21:45,フーちゃん美大通ってたんだ…すごい…,0,0
20,1224276425584168961,2020-02-03 19:20:20,RT @3furlongpu: 松本ぷりっつ『成人を迎えました』⇒ https://t.co/mqZIqv30xO,0,49111
21,1224275638581772288,2020-02-03 19:17:12,ぬおおおおおお恵方巻き買いに行くかあーーーー,0,0
22,1224245417140838402,2020-02-03 17:17:07,うひーーーー,0,0
23,1224245376242216960,2020-02-03 17:16:57,かかかかか環境構築ってななななななんですかかかかかか,0,0
24,1224232999392165894,2020-02-03 16:27:46,おうちの電子レンジがオーブン機能なしのゴミなのでバレンタインとか関係なくお菓子作れなくてくっっっそないてる,1,0
25,1224214847128125440,2020-02-03 15:15:39,Twitter API登録ってめんどくちぇーー,0,0
26,1223876748271480834,2020-02-02 16:52:09,初ババババババ,2,0
27,1223865097111519235,2020-02-02 16:05:52,成れ果ての感覚を肌で味わいたい変態さんたちがいく映画,0,0
28,1223864743980498944,2020-02-02 16:04:27,いやいやいやいやいやいくでしょ https://t.co/ZJdFVUy8Vc,0,0
